ASIN,username,rating,title,date,likes,description,keyword,importance,sentiment_score,magnitude,aspect
982105,Priyanka Prakash,5,Highly Recommended ,15/03/2021 15:28,0,I tried a lot of conditioners always experiments with products.. In love with the results of this product it works great made my hair smooth and silky shiny manageable and moisturized hair with every wash nice smell..,lot,0.312215954,-0.200000003,0.200000003,
982105,esika biswas,5,Recommended,23/03/2021 11:10,0,"Makes hair smooth and shinySoft and frizz free hairNice mild fragranceAffordableParaben free",hair,0.486879885,0.800000012,0.800000012,
982105,Aqsa,5,Best and affordable ,03/06/2022 14:51,0,This is best shampoo and conditioner.my hair get soft .i have oily scalp and dry and rough hair after using first time I start seeing the change ..so so love for this 💞💞,shampoo,0.394353479,0.400000006,0.400000006,
982105,Aqsa,5,Best and affordable ,03/06/2022 14:51,0,This is best shampoo and conditioner.my hair get soft .i have oily scalp and dry and rough hair after using first time I start seeing the change ..so so love for this 💞💞,hair,0.265454352,0.400000006,0.400000006,
982105,Aqsa,5,Best and affordable ,03/06/2022 14:51,0,This is best shampoo and conditioner.my hair get soft .i have oily scalp and dry and rough hair after using first time I start seeing the change ..so so love for this 💞💞,hair,0.131824926,0.400000006,0.400000006,
982105,Aqsa,5,Best and affordable ,03/06/2022 14:51,0,This is best shampoo and conditioner.my hair get soft .i have oily scalp and dry and rough hair after using first time I start seeing the change ..so so love for this 💞💞,scalp,0.113890268,0.5,0.5,
982105,Aqsa,5,Best and affordable ,03/06/2022 14:51,0,This is best shampoo and conditioner.my hair get soft .i have oily scalp and dry and rough hair after using first time I start seeing the change ..so so love for this 💞💞,💞,0.057884712,0.5,0.5,
982105,Aqsa,5,Best and affordable ,03/06/2022 14:51,0,This is best shampoo and conditioner.my hair get soft .i have oily scalp and dry and rough hair after using first time I start seeing the change ..so so love for this 💞💞,change,0.036592271,0.400000006,0.400000006,
982105,Priyanka Prakash,5,Amazing Product ,03/12/2021 15:56,0,It's have nice fragrance makes my hair smooth and silky shiny manageable and moisturized hair with every time I use this product.. I have oily scalp and dry hair and this shampoo suits my hair smoothens hair and leaves a natural shine fully recommend it to everyone..,hair,0.46713078,0.600000024,1.200000048,
982105,Priyanka Prakash,5,Amazing Product ,03/12/2021 15:56,0,It's have nice fragrance makes my hair smooth and silky shiny manageable and moisturized hair with every time I use this product.. I have oily scalp and dry hair and this shampoo suits my hair smoothens hair and leaves a natural shine fully recommend it to everyone..,fragrance,0.210987866,0.600000024,0.600000024,Fragrance
982105,Priyanka Prakash,5,Amazing Product ,03/12/2021 15:56,0,It's have nice fragrance makes my hair smooth and silky shiny manageable and moisturized hair with every time I use this product.. I have oily scalp and dry hair and this shampoo suits my hair smoothens hair and leaves a natural shine fully recommend it to everyone..,hair,0.08149904,0.699999988,0.699999988,
982105,Priyanka Prakash,5,Amazing Product ,03/12/2021 15:56,0,It's have nice fragrance makes my hair smooth and silky shiny manageable and moisturized hair with every time I use this product.. I have oily scalp and dry hair and this shampoo suits my hair smoothens hair and leaves a natural shine fully recommend it to everyone..,shine,0.068130001,0.600000024,1.200000048,
982105,esika biswas,5,Recommended,23/03/2021 11:10,0,"Makes hair smooth and shinySoft and frizz free hairNice mild fragranceAffordableParaben free",hair,0.148533955,0.800000012,0.800000012,
982105,esika biswas,5,Recommended,23/03/2021 11:10,0,"Makes hair smooth and shinySoft and frizz free hairNice mild fragranceAffordableParaben free",Paraben,0.278201878,0.800000012,1.700000048,
982105,Priyanka Barwal,5,Perfect Kit ,25/03/2021 18:11,0,"Very fresh smell, It really provides moisture to your dry hair and makes your hair soft and smooth and more manageable good for daily use highly recommended..",use,0.086995073,0.800000012,0.800000012,
982105,Priyanka Prakash,5,Amazing Product ,03/12/2021 15:56,0,It's have nice fragrance makes my hair smooth and silky shiny manageable and moisturized hair with every time I use this product.. I have oily scalp and dry hair and this shampoo suits my hair smoothens hair and leaves a natural shine fully recommend it to everyone..,product,0.058672201,0.800000012,0.800000012,Quality
982105,Priyanka Barwal,5,Perfect Kit ,25/03/2021 18:11,0,"Very fresh smell, It really provides moisture to your dry hair and makes your hair soft and smooth and more manageable good for daily use highly recommended..",good,0.086995073,0.899999976,0.899999976,
982105,Priyanka Barwal,5,Perfect Kit ,25/03/2021 18:11,0,"Very fresh smell, It really provides moisture to your dry hair and makes your hair soft and smooth and more manageable good for daily use highly recommended..",hair,0.129146427,0.800000012,0.800000012,
982105,Priyanka Barwal,5,Perfect Kit ,25/03/2021 18:11,0,"Very fresh smell, It really provides moisture to your dry hair and makes your hair soft and smooth and more manageable good for daily use highly recommended..",moisture,0.137620956,0.800000012,0.800000012,
